TYPE,SHAPE_Polypore,SHAPE_Convex,SHAPE_Bellshaped,SHAPE_Depressed,SHAPE_CupFungi,SHAPE_CoralFungi,SHAPE_Conical,SHAPE_SiddarthMachado,SHAPE_harum.koh,SHAPE_AtsushiNakajima,SHAPE_Dr.HansGünterWagne,SHAPE_Flat,SHAPE_JellyFungi,SHAPE_Stinkhorns,SHAPE_Earthstars,SHAPE_Puffballs,SHAPE_Corticioid,SHAPE_Chanterelles,SHAPE_Funnelshaped,SHAPE_AlanRockefeller,SHAPE_Coltriciaperennis,SHAPE_Cylindrical,SHAPE_Knobbed,SHAPE_Shellshaped,SHAPE_Truffles,SHAPE_AnnieWeissman,SHAPE_Bolete,SHAPE_FalseMorels,SHAPE_Hygrocybechlorophana,SHAPE_neilfws,SHAPE_ToothFungi,SHAPE_YoupvandenHeuvel,SHAPE_RonPastorino,SHAPE_chezaaro(AaronS),SHAPE_Gymnopilusluteofolius,SHAPE_TrueMorels,"SHAPE_ArneAronsen/Naturhistoriskmuseum,UniversitetetiOslo",SHAPE_AlexKarasoulos,SHAPE_RockyHoughtby,SHAPE_Psilocybecyanescens,SHAPE_Ganymede,SHAPE_Brown,SHAPE_Simongeorg,SHAPE_Cauliflower,SHAPE_TorreyBrownell,SURFACE_Smooth,SURFACE_FlatScales,SURFACE_Fibrous,SURFACE_Patches,SURFACE_RaisedScales,SURFACE_Hairy,SURFACE_Powder,SURFACE_Silky,SURFACE_Velvety,SURFACE_AlanRockefeller,SURFACE_Coltriciaperennis,SURFACE_KymNicolson,SURFACE_AnnieWeissman,SURFACE_Ganodermaapplanatum,SURFACE_RonPastorino,SURFACE_chezaaro(AaronS),"SURFACE_ArneAronsen/Naturhistoriskmuseum,UniversitetetiOslo",SURFACE_RockyHoughtby,R,G,B
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.0,255.0,127.5
0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255.0,-255.0,-255.0
0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.0,148.5,148.5
